timestamp,model,model_label,split,bleu,chrf,source_notebook,source_run_name,notes
2026-03-28T21:11:44-07:00,baseline,baseline,idioms_test,39.64935194574556,60.786111999956105,01_experiment_idiom_aware_MT_two_stage_frozen_encoder.ipynb,baseline,pretrained baseline
2026-03-28T21:13:27-07:00,baseline,baseline,wmt_test,27.5679940288714,58.43184557779851,01_experiment_idiom_aware_MT_two_stage_frozen_encoder.ipynb,baseline,pretrained baseline (WMT test full 3003)
2026-03-29T12:33:08-07:00,flan_t5_small_prompt_0shot,flan_t5_small_prompt_0shot,idioms_test,8.126810293457321,33.138795479524205,06_experiment_idiom_aware_MT_fewshot_prompting_flant5.ipynb,flan_t5_small_prompt_0shot,few-shot prompted baseline on idiom subset
2026-03-29T12:39:15-07:00,flan_t5_small_prompt_0shot,flan_t5_small_prompt_0shot,wmt_test,7.615427563841016,35.542535498334885,06_experiment_idiom_aware_MT_fewshot_prompting_flant5.ipynb,flan_t5_small_prompt_0shot_wmt25,0-shot prompted baseline on canonical 25-example WMT14 subset
2026-03-29T12:35:43-07:00,flan_t5_small_prompt_3shot,flan_t5_small_prompt_3shot,idioms_test,7.769177973296203,32.51758301307655,06_experiment_idiom_aware_MT_fewshot_prompting_flant5.ipynb,flan_t5_small_prompt_3shot,few-shot prompted baseline on idiom subset
2026-03-29T12:40:10-07:00,flan_t5_small_prompt_3shot,flan_t5_small_prompt_3shot,wmt_test,7.431623079796857,36.22497346319079,06_experiment_idiom_aware_MT_fewshot_prompting_flant5.ipynb,flan_t5_small_prompt_3shot_wmt25,3-shot prompted baseline on canonical 25-example WMT14 subset
2026-03-29T12:38:49-07:00,flan_t5_small_prompt_5shot,flan_t5_small_prompt_5shot,idioms_test,7.623039483156583,32.096459272914366,06_experiment_idiom_aware_MT_fewshot_prompting_flant5.ipynb,flan_t5_small_prompt_5shot,few-shot prompted baseline on idiom subset
2026-03-29T12:41:12-07:00,flan_t5_small_prompt_5shot,flan_t5_small_prompt_5shot,wmt_test,4.958041805012363,29.858081430308292,06_experiment_idiom_aware_MT_fewshot_prompting_flant5.ipynb,flan_t5_small_prompt_5shot_wmt25,5-shot prompted baseline on canonical 25-example WMT14 subset
2026-03-28T21:13:36-07:00,idiom_only_v1,idiom_only_v1,idioms_test,44.16121039160048,64.43806053496827,01_experiment_idiom_aware_MT_two_stage_frozen_encoder.ipynb,idiom_only_v1,stage1 idiom-only fine-tune
2026-03-28T21:15:21-07:00,idiom_only_v1,idiom_only_v1,wmt_test,26.540146766159747,58.23095853686714,01_experiment_idiom_aware_MT_two_stage_frozen_encoder.ipynb,idiom_only_v1,stage1 idiom-only fine-tune (eval on WMT)
2026-03-28T23:08:03-07:00,lora_r16_stage2,lora_r16_stage2,idioms_test,41.72424543678229,61.44982029049751,04_experiment_idiom_aware_MT_PEFT_LoRA_RANK.ipynb,lora_r16_two_stage_greedy,LoRA 2-stage | r=16 | stage2=WMT enc_frozen | stage1=idioms | lr2=1e-05 | canonical_decode=greedy
2026-03-28T23:11:12-07:00,lora_r16_stage2,lora_r16_stage2,wmt_test,27.596422476853355,58.459373444561535,04_experiment_idiom_aware_MT_PEFT_LoRA_RANK.ipynb,lora_r16_two_stage_greedy,LoRA 2-stage | r=16 | stage2=WMT enc_frozen | stage1=idioms | lr2=1e-05 | canonical_decode=greedy
2026-03-28T22:29:15-07:00,lora_r4_stage2,lora_r4_stage2,idioms_test,41.85319732005698,61.836284051676685,04_experiment_idiom_aware_MT_PEFT_LoRA_RANK.ipynb,lora_r4_two_stage_greedy,LoRA 2-stage | r=4 | stage2=WMT enc_frozen | stage1=idioms | lr2=1e-05 | canonical_decode=greedy
2026-03-28T22:32:24-07:00,lora_r4_stage2,lora_r4_stage2,wmt_test,27.56879719940044,58.4930625001082,04_experiment_idiom_aware_MT_PEFT_LoRA_RANK.ipynb,lora_r4_two_stage_greedy,LoRA 2-stage | r=4 | stage2=WMT enc_frozen | stage1=idioms | lr2=1e-05 | canonical_decode=greedy
2026-03-28T22:48:35-07:00,lora_r8_stage2,lora_r8_stage2,idioms_test,42.1787655293237,61.760908613641895,04_experiment_idiom_aware_MT_PEFT_LoRA_RANK.ipynb,lora_r8_two_stage_greedy,LoRA 2-stage | r=8 | stage2=WMT enc_frozen | stage1=idioms | lr2=1e-05 | canonical_decode=greedy
2026-03-28T22:51:45-07:00,lora_r8_stage2,lora_r8_stage2,wmt_test,27.4803387263887,58.45979563899476,04_experiment_idiom_aware_MT_PEFT_LoRA_RANK.ipynb,lora_r8_two_stage_greedy,LoRA 2-stage | r=8 | stage2=WMT enc_frozen | stage1=idioms | lr2=1e-05 | canonical_decode=greedy
2026-03-28T21:15:29-07:00,two_stage_frozen_v1,two_stage_frozen_v1,idioms_test,43.15978726962502,63.341617550181375,01_experiment_idiom_aware_MT_two_stage_frozen_encoder.ipynb,two_stage_frozen_v1,"stage2 general fine-tune, encoder frozen (eval on idioms)"
2026-03-28T21:17:12-07:00,two_stage_frozen_v1,two_stage_frozen_v1,wmt_test,27.182380871327467,58.34207281103036,01_experiment_idiom_aware_MT_two_stage_frozen_encoder.ipynb,two_stage_frozen_v1,"stage2 general fine-tune, encoder frozen (eval on WMT)"
