timestamp,run_name,model_name,n_shots,split,bleu,chrf,n_eval,gen_kwargs,notes
2026-03-19T17:40:29-07:00,mt5_small_prompt_0shot,google/mt5-small,0,idioms_eval,0.1455401821555652,1.9670711421392588,25,"{""max_new_tokens"": 128, ""num_beams"": 4, ""do_sample"": false}",few-shot prompted baseline on idiom subset
2026-03-19T17:40:49-07:00,mt5_small_prompt_3shot,google/mt5-small,3,idioms_eval,0.1455401821555652,1.9670711421392588,25,"{""max_new_tokens"": 128, ""num_beams"": 4, ""do_sample"": false}",few-shot prompted baseline on idiom subset
2026-03-19T17:41:14-07:00,mt5_small_prompt_5shot,google/mt5-small,5,idioms_eval,0.1451688013485524,2.168259968222038,25,"{""max_new_tokens"": 128, ""num_beams"": 4, ""do_sample"": false}",few-shot prompted baseline on idiom subset
2026-03-19T19:39:59-07:00,mt5_small_prompt_0shot,google/mt5-small,0,idioms_eval,0.1455401821555652,1.9670711421392588,25,"{""max_new_tokens"": 128, ""num_beams"": 4, ""do_sample"": false}",few-shot prompted baseline on idiom subset
2026-03-19T19:40:20-07:00,mt5_small_prompt_3shot,google/mt5-small,3,idioms_eval,0.1455401821555652,1.9670711421392588,25,"{""max_new_tokens"": 128, ""num_beams"": 4, ""do_sample"": false}",few-shot prompted baseline on idiom subset
2026-03-19T19:40:55-07:00,mt5_small_prompt_5shot,google/mt5-small,5,idioms_eval,0.1451688013485524,2.168259968222038,25,"{""max_new_tokens"": 128, ""num_beams"": 4, ""do_sample"": false}",few-shot prompted baseline on idiom subset
2026-03-20T11:38:36-07:00,mt5_small_prompt_0shot,google/mt5-small,0,idioms_eval,0.1455401821555652,1.9670711421392588,25,"{""max_new_tokens"": 128, ""num_beams"": 4, ""do_sample"": false}",few-shot prompted baseline on idiom subset
2026-03-20T11:39:06-07:00,mt5_small_prompt_3shot,google/mt5-small,3,idioms_eval,0.1455401821555652,1.9670711421392588,25,"{""max_new_tokens"": 128, ""num_beams"": 4, ""do_sample"": false}",few-shot prompted baseline on idiom subset
2026-03-20T11:39:59-07:00,mt5_small_prompt_5shot,google/mt5-small,5,idioms_eval,0.1451688013485524,2.168259968222038,25,"{""max_new_tokens"": 128, ""num_beams"": 4, ""do_sample"": false}",few-shot prompted baseline on idiom subset
2026-03-20T12:04:03-07:00,mt5_small_prompt_0shot,google/mt5-small,0,idioms_eval,0.1455401821555652,1.9670711421392588,25,"{""max_new_tokens"": 128, ""num_beams"": 4, ""do_sample"": false}",few-shot prompted baseline on idiom subset
2026-03-20T12:04:42-07:00,mt5_small_prompt_3shot,google/mt5-small,3,idioms_eval,0.1455401821555652,1.9670711421392588,25,"{""max_new_tokens"": 128, ""num_beams"": 4, ""do_sample"": false}",few-shot prompted baseline on idiom subset
2026-03-20T12:05:19-07:00,mt5_small_prompt_5shot,google/mt5-small,5,idioms_eval,0.1451688013485524,2.168259968222038,25,"{""max_new_tokens"": 128, ""num_beams"": 4, ""do_sample"": false}",few-shot prompted baseline on idiom subset
